5	4	2	3
3
4	20	100	10 15
500
2	1	118	592	6	(26,13),(44,9),(114,19),(30,5),(23,17),(88,11)
8	2	177	893	7	(40,15),(164,12),(69,7),(125,14),(93,5),(92,19),(113,8)
12	3	170	862	5	(154,19),(43,11),(151,10),(86,12),(130,10)
18	4	76	398	1	(25,8)
24	5	248	1264	8	(69,19),(6,17),(107,15),(20,16),(44,20),(158,15),(44,17),(2,19)
29	6	180	929	3	(132,6),(25,7),(164,18)
29	7	253	1294	4	(44,6),(170,15),(2,12),(135,5)
36	8	103	551	7	(76,16),(23,13),(16,15),(89,14),(18,17),(72,8),(101,15)
38	9	193	1003	6	(131,10),(16,19),(20,8),(95,5),(76,5),(162,6)
41	10	138	731	1	(134,9)
45	11	63	360	7	(35,18),(45,16),(8,9),(18,6),(52,14),(26,9),(23,6)
48	12	248	1288	6	(214,18),(140,16),(185,19),(178,15),(30,16),(145,11)
50	13	111	605	6	(111,16),(3,18),(52,11),(72,10),(45,6),(25,14)
52	14	205	1077	7	(40,14),(5,12),(88,11),(117,20),(30,19),(77,11),(124,12)
54	15	209	1099	8	(51,17),(111,8),(3,14),(167,13),(34,12),(177,7),(174,18),(141,16)
54	16	293	1519	10	(117,9),(47,18),(195,15),(200,19),(34,11),(107,5),(290,9),(206,5),(260,17),(42,10)
60	17	258	1350	2	(111,13),(41,10)
61	18	300	1561	4	(83,6),(201,15),(210,17),(105,5)
62	19	262	1372	4	(184,16),(184,9),(78,7),(236,11)
66	20	145	791	5	(49,10),(29,8),(29,15),(13,20),(25,9)
67	21	52	327	5	(3,17),(26,6),(33,17),(21,5),(36,10)
67	22	223	1182	1	(89,17)
73	23	35	248	10	(17,18),(19,10),(14,19),(30,17),(22,15),(9,5),(23,19),(12,19),(25,9),(25,12)
73	24	41	278	5	(15,18),(26,5),(36,11),(27,20),(29,13)
80	25	236	1260	5	(165,9),(46,9),(219,5),(116,17),(118,15)
85	26	295	1560	10	(293,7),(193,14),(174,17),(157,16),(149,9),(250,17),(206,19),(61,20),(28,12),(90,8)
86	27	197	1071	4	(130,12),(181,17),(150,17),(128,14)
89	28	149	834	8	(57,19),(98,7),(138,9),(43,14),(98,12),(31,8),(107,6),(72,17)
92	29	39	287	2	(27,9),(8,11)
94	30	262	1404	7	(234,19),(172,9),(121,18),(105,17),(104,15),(201,18),(228,11)
100	31	137	785	0	106	32	269	1451	10	(33,5),(105,6),(210,12),(161,12),(142,17),(74,12),(146,7),(47,8),(170,11),(118,11)
108	33	196	1088	0	109	34	108	649	4	(53,15),(55,8),(43,11),(83,19)
109	35	222	1219	4	(37,14),(68,12),(111,10),(195,13)
111	36	121	716	3	(29,13),(63,11),(109,16)
116	37	268	1456	7	(62,12),(74,19),(105,13),(137,8),(258,14),(225,11),(180,20)
119	38	216	1199	0	
125	39	48	365	9	(11,19),(7,20),(30,15),(11,13),(16,7),(28,18),(11,17),(9,15),(14,20)
126	40	281	1531	2	(32,7),(22,9)
131	41	262	1441	7	(223,5),(120,11),(95,9),(207,7),(176,11),(244,14),(126,9)
135	42	43	350	1	(30,10)
139	43	59	434	3	(2,15),(37,16),(51,7)
142	44	220	1242	8	(115,8),(213,16),(116,18),(81,5),(123,17),(54,6),(194,10),(104,14)
144	45	75	519	4	(18,11),(46,5),(19,19),(46,20)
146	46	51	401	8	(5,7),(34,11),(48,7),(14,11),(35,5),(42,16),(0,14),(23,11)
152	47	26	282	6	(24,19),(26,18),(9,16),(10,12),(14,5),(16,5)
154	48	140	854	7	(118,19),(53,6),(130,12),(86,14),(133,10),(53,19),(107,18)
158	49	12	218	4	(8,18),(2,14),(1,8),(5,7)
159	50	228	1299	7	(35,17),(80,12),(161,9),(204,8),(178,15),(23,20),(117,7)
159	51	133	824	1	(6,10)
161	52	69	506	0	
167	53	247	1402	4	(238,9),(141,20),(238,7),(231,13)
172	54	168	1012	7	(74,10),(137,9),(92,11),(27,5),(22,6),(71,7),(112,11)
179	55	164	999	8	(8,5),(161,11),(163,6),(39,20),(53,17),(152,20),(21,17),(135,20)
186	56	228	1326	1	(120,9)
189	57	257	1474	7	(186,10),(228,20),(103,15),(35,6),(227,5),(202,19),(55,12)
195	58	187	1130	5	(180,8),(84,9),(161,16),(86,7),(30,11)
200	59	296	1680	7	(202,20),(9,12),(105,17),(233,12),(100,15),(19,18),(6,20)
206	60	172	1066	8	(58,12),(19,16),(143,17),(145,9),(28,19),(124,9),(95,17),(78,5)
207	61	220	1307	6	(171,20),(196,10),(103,14),(57,14),(57,14),(8,14)
211	62	133	876	1	(125,13)
218	63	164	1038	1	(56,18)
218	64	88	658	3	(17,18),(26,10),(4,8)
219	65	219	1314	0	
222	66	240	1422	4	(42,5),(153,20),(46,12),(210,18)
224	67	10	274	5	(10,9),(5,10),(0,13),(5,10),(6,20)
230	68	184	1150	3	(21,11),(11,8),(114,15)
234	69	160	1034	6	(34,13),(60,20),(37,14),(10,20),(55,13),(42,12)
241	70	102	751	5	(41,6),(69,15),(38,9),(23,11),(23,16)
246	71	56	526	8	(54,19),(29,19),(5,6),(44,19),(34,11),(38,9),(55,18),(50,20)
251	72	84	671	5	(9,19),(46,17),(46,16),(19,13),(49,13)
253	73	106	783	4	(48,14),(97,10),(48,12),(79,10)
256	74	205	1281	8	(76,10),(28,18),(110,8),(0,16),(88,6),(84,18),(98,15),(99,20)
260	75	185	1185	5	(127,7),(142,6),(131,9),(3,12),(125,5)
267	76	53	532	0	
271	77	273	1636	8	(209,6),(79,5),(96,18),(57,6),(103,14),(174,9),(95,18),(182,9)
274	78	178	1164	4	(126,20),(119,20),(174,8),(12,18)
275	79	148	1015	0	
281	80	95	756	8	(89,9),(83,8),(1,14),(57,6),(42,13),(0,8),(80,18),(7,14)
282	81	30	432	9	(5,8),(4,15),(3,20),(13,19),(7,18),(10,9),(8,7),(6,5),(18,9)
282	82	12	342	3	(12,13),(8,11),(12,5)
289	83	169	1134	5	(114,19),(13,6),(51,19),(107,20),(152,8)
292	84	250	1542	6	(229,5),(30,5),(237,6),(6,19),(43,19),(191,17)
295	85	215	1370	3	(199,9),(174,16),(43,20)
299	86	145	1024	4	(92,20),(118,13),(136,17),(2,6)
